SESEq
             [,1]       [,2]       [,3]        [,4]
 [19,] 0.06164619 0.10023997 0.06962313 0.003205719
 [20,] 0.06168915 0.10033362 0.06954391 0.003202252
 [21,] 0.06169282 0.10031749 0.06948143 0.003194925
 [22,] 0.06175738 0.10044797 0.06942611 0.003192706
 [23,] 0.06172745 0.10041637 0.06927596 0.003185300
 [24,] 0.06210482 0.10098504 0.06957095 0.003196486
 [25,] 0.06246396 0.10161183 0.06982695 0.003210264
 [26,] 0.06237705 0.10084445 0.06937257 0.003212805
 [27,] 0.06226668 0.10066341 0.06923731 0.003200442
 [28,] 0.06223552 0.10059477 0.06912953 0.003191443
 [29,] 0.06212884 0.10041791 0.06899367 0.003179355
 [30,] 0.06203355 0.10027054 0.06878648 0.003168308
 [31,] 0.06192454 0.10009407 0.06857384 0.003156350
 [32,] 0.06183239 0.09993644 0.06844330 0.003145009
 [33,] 0.05998291 0.09869412 0.06825530 0.003137754
 [34,] 0.05980699 0.09760058 0.06754493 0.003127410
 [35,] 0.05973495 0.09749293 0.06736061 0.003117820
 [36,] 0.05964137 0.09733364 0.06723192 0.003106509
 [37,] 0.05954802 0.09718635 0.06703119 0.003095685
 [38,] 0.06046950 0.09875085 0.06790649 0.003140129
 [39,] 0.06043297 0.09867457 0.06781521 0.003131453
 [40,] 0.06034183 0.09851839 0.06763338 0.003120260
 [41,] 0.06023518 0.09773786 0.06716270 0.003120162
 [42,] 0.06013601 0.09757311 0.06703665 0.003108817
 [43,] 0.06005171 0.09744337 0.06684671 0.003098719
 [44,] 0.06007867 0.09746529 0.06681648 0.003093125
 [45,] 0.05997802 0.09730092 0.06669679 0.003081938
 [46,] 0.05992510 0.09722723 0.06653845 0.003073857
 [47,] 0.05985167 0.09709775 0.06642432 0.003063861
 [48,] 0.05979185 0.09609297 0.06574677 0.003053361
 [49,] 0.05970834 0.09596520 0.06556301 0.003043570
 [50,] 0.05964597 0.09587526 0.06551788 0.003035015
 [51,] 0.05956673 0.09573938 0.06535808 0.003024844
